Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand
simon lee,rhythms of life,"£13,000",14-Apr-21,April,Q1,South East,Canterbury,Music,"£15,000 and below"
James H Cooke,James h cooke,"£14,460",14-Apr-21,April,Q1,South East,Brighton and Hove,Visual arts,"£15,000 and below"
Sun Pier House CIC,Ebb & Flow Festival 2021,"£14,944",14-Apr-21,April,Q1,South East,Medway,Combined arts,"£15,000 and below"
Madelaine Kinsella,JARG ZINE: POETRY FOR ALL,"£3,500",14-Apr-21,April,Q1,North,Liverpool,Literature,"£15,000 and below"
Ruth Collins,Natural Wonder,"£13,000",14-Apr-21,April,Q1,South East,Broadland,Literature,"£15,000 and below"
Inky Cloak,Inside Out digital drama club 2021,"£14,529",14-Apr-21,April,Q1,London,Hackney,Theatre,"£15,000 and below"
Simon Webb,Radius,"£14,875",14-Apr-21,April,Q1,North,Bolton,Visual arts,"£15,000 and below"
The Grayston Unity,The Grayston Unity,"£12,125",14-Apr-21,April,Q1,North,Calderdale,Music,Grassroots Music
Brickmakers Live Ltd,Outside Performance Area,"£14,999",14-Apr-21,April,Q1,South East,Norwich,Music,Grassroots Music
The 21st Century Creative Ltd,A Mouthful of Air,"£8,890",19-Apr-21,April,Q1,South West,"Bristol, City of",Literature,"£15,000 and below"
DANCE SIX-0,Elders dancing back to the Studio,"£14,948",19-Apr-21,April,Q1,South West,Wiltshire,Dance,"£15,000 and below"
Michele Curtis,Seven Saints of St. Pauls AR/VR Tours R&D,"£16,000",19-Apr-21,April,Q1,South West,"Bristol, City of",Combined arts,"£15,000 and below"
Vivian Chinasa Ezugha,Tongues,"£11,447",19-Apr-21,April,Q1,South West,Eastleigh,Theatre,"£15,000 and below"
Water City Music,WCM 2021 Programme,"£15,000",19-Apr-21,April,Q1,South West,Cotswold,Music,"£15,000 and below"
Laura Horton,Theatre Stories,"£14,998",19-Apr-21,April,Q1,South West,Plymouth,Theatre,"£15,000 and below"
Ruskin Mill Trust,Return of King Arthur,"£15,000",19-Apr-21,April,Q1,South West,Stroud,Theatre,"£15,000 and below"
Tom Taffinder,The Taff Duo - Re-imagining Live Music - Take Two,"£14,335",19-Apr-21,April,Q1,South West,Cornwall,Music,"£15,000 and below"
Emma Baskeyfield,Cut Out Research & Development,"£18,387",19-Apr-21,April,Q1,South West,Exeter,Theatre,"£15,000 and below"
Julie Lovelock,St. Benedict's School Mural,"£6,898",19-Apr-21,April,Q1,South West,Mendip,Visual arts,"£15,000 and below"
Greedy Pig Theatre Company,'Be.' R&D - Application 2,"£11,817",19-Apr-21,April,Q1,South West,Bath and North East Somerset,Theatre,"£15,000 and below"
The Music Works,King’s Jam 2021,"£15,000",19-Apr-21,April,Q1,South West,Gloucester,Music,"£15,000 and below"
Oriol Freixa Rafols,Yam & Banana: Music for the Soul in St Pauls,"£14,950",19-Apr-21,April,Q1,South West,"Bristol, City of",Music,"£15,000 and below"
Moogie Wonderland,Developing learning-disability led participatory music activities via the G7 Summit,"£14,998",19-Apr-21,April,Q1,South West,Cornwall,Music,"£15,000 and below"
Bath Fringe Ltd,Open Shop,"£15,000",19-Apr-21,April,Q1,South West,Bath and North East Somerset,Combined arts,"£15,000 and below"
Rosanna Martin,Brickfield Newham,"£14,868",19-Apr-21,April,Q1,South West,Cornwall,Visual arts,"£15,000 and below"
Handstand Arts,Circus City 2021 resubmission,"£68,330",20-Apr-21,April,Q1,South West,"Bristol, City of",Theatre,"Over £15,000"
Bath Carnival CIC,Bath Carnival 2021,"£64,478",20-Apr-21,April,Q1,South West,Bath and North East Somerset,Combined arts,"Over £15,000"
-,-,"£29,196",20-Apr-21,April,Q1,South West,"Bristol, City of",Music,Grassroots Music
Stuart Hall Foundation,Reconstruction work,"£48,400",21-Apr-21,April,Q1,London,Southwark,Not discipline specific,"Over £15,000"
Drum and Brass CIC,D+B Development Project,"£49,193",21-Apr-21,April,Q1,Midlands,Charnwood,Music,"Over £15,000"
Robert Heath,Cacophany Arkestra presents:  Arc 2020-2030 - Our Time is Now,"£14,900",21-Apr-21,April,Q1,North,Fylde,Combined arts,"£15,000 and below"
Amy Morvell,Organisation Development,"£14,899",21-Apr-21,April,Q1,South East,Chichester,Dance,"£15,000 and below"
Ruth Taiwo,"Before Them, We","£49,850",21-Apr-21,April,Q1,London,Newham,Combined arts,"Over £15,000"
Anna Clarkson,Story STone,"£14,916",21-Apr-21,April,Q1,North,Calderdale,Combined arts,"£15,000 and below"
alison armstrong,Lost Voices of Morecambe Winter Gardens,"£19,397",21-Apr-21,April,Q1,North,Lancaster,Theatre,"Over £15,000"
Carbon Theatre,My Sensory Adventures,"£49,970",21-Apr-21,April,Q1,Midlands,North Northamptonshire,Theatre,"Over £15,000"
Georgia Kelly,'Sick' R&D,"£12,846",21-Apr-21,April,Q1,Midlands,Coventry,Theatre,"£15,000 and below"
Angela Fleming,Tough Old Bird,"£6,788",21-Apr-21,April,Q1,North,Liverpool,Theatre,"£15,000 and below"
Kate Cox,Worcester Paint Festival,"£15,000",21-Apr-21,April,Q1,Midlands,Worcester,Visual arts,"£15,000 and below"
The People's Orchestra,Cultural Creatives - Let's Listen,"£64,500",21-Apr-21,April,Q1,Midlands,Sandwell,Music,"Over £15,000"
Nomad Projects,We speak in tongues about the thing(s) we love,"£37,980",21-Apr-21,April,Q1,London,Tower Hamlets,Visual arts,"Over £15,000"
Green Shoes Arts,Speak Out,"£35,000",21-Apr-21,April,Q1,London,Barking and Dagenham,Theatre,"Over £15,000"
sophio medoidze,Let Us Flow!,"£15,000",21-Apr-21,April,Q1,London,Camden,Visual arts,"£15,000 and below"
Children's Capital of Culture 2025,Children's Capital of Culture - Phase 1,"£76,100",21-Apr-21,April,Q1,North,Rotherham,Combined arts,"Over £15,000"
Monkfish Productions CIO,Monkfish Productions CIO: Developing Our Organisation,"£27,782",21-Apr-21,April,Q1,North,Newcastle upon Tyne,Combined arts,"Over £15,000"
Nathan Kiely,Crystal Balls,"£8,888",21-Apr-21,April,Q1,London,Hackney,Theatre,"£15,000 and below"
Midlands Air Ambulance Charity,MAAC AIR30 Arts Project,"£11,700",21-Apr-21,April,Q1,Midlands,Dudley,Literature,"£15,000 and below"
Sefton Libraries,We interrrupt this service...: digital development Sefton Libraries,"£49,420",21-Apr-21,April,Q1,North,Sefton,Libraries,"Over £15,000"
Cordelia Grierson,Inundame (Flood me),"£16,800",21-Apr-21,April,Q1,North,York,Visual arts,"£15,000 and below"
Charles Court Opera,Charles Court Opera podcast project,"£8,176",21-Apr-21,April,Q1,North,Sheffield,Music,"£15,000 and below"
Alistair Fruish,TOOL BOX - inspiration for prisons - lockdown and beyond.,"£40,214",21-Apr-21,April,Q1,Midlands,West Northamptonshire,Combined arts,"Over £15,000"
Project Phakama UK,Phakama Celebrates 25 Years,"£28,675",21-Apr-21,April,Q1,London,Tower Hamlets,Combined arts,"Over £15,000"
Culture Squared CIC,Literature Unlocked,"£169,850",21-Apr-21,April,Q1,North,Bradford,Literature,"Over £15,000"
Tombola,Where We Dwelt R&D,"£15,860",21-Apr-21,April,Q1,South East,East Suffolk,Theatre,"£15,000 and below"
the Albany,Albany 2021,"£77,300",21-Apr-21,April,Q1,London,Lewisham,Combined arts,"Over £15,000"
Coventry Artspace,Coventry Foundations,"£89,975",21-Apr-21,April,Q1,Midlands,Coventry,Visual arts,"Over £15,000"
Creative Gen UK,CGpresents,"£5,800",21-Apr-21,April,Q1,Midlands,Walsall,Music,"£15,000 and below"
Manchester Metropolitan University,Oxford Road - Corridor of Light Festival,"£65,000",21-Apr-21,April,Q1,North,Manchester,Combined arts,"Over £15,000"
Ukon Careers,Barking & Dagenham carnival arts development 2021,"£15,400",21-Apr-21,April,Q1,London,Barking and Dagenham,Combined arts,"£15,000 and below"
Drum The Bass Ltd,Young Croydon Composers 2021,"£24,992",21-Apr-21,April,Q1,London,Croydon,Music,"Over £15,000"
Newhampton Arts Centre,The New Horizons Stage Programme,"£42,363",21-Apr-21,April,Q1,Midlands,Wolverhampton,Combined arts,"Over £15,000"
Skipton Puppet Festival,Skipton Puppet Festival 2021,"£29,000",21-Apr-21,April,Q1,North,Craven,Theatre,"Over £15,000"
Stephen M Hornby,The Day The World Came To Huddersfield,"£31,115",21-Apr-21,April,Q1,North,Manchester,Combined arts,"Over £15,000"
House of Suarez,Manchester Ball and Artist Development,"£24,978",21-Apr-21,April,Q1,North,Liverpool,Dance,"Over £15,000"
James Lawler,Spring Forward,"£12,990",21-Apr-21,April,Q1,North,Sefton,Visual arts,"£15,000 and below"
Doddington Hall & Gardens,Summer of Imagination 2021,"£14,000",21-Apr-21,April,Q1,Midlands,North Kesteven,Combined arts,"£15,000 and below"
The Stringcredibles,Power Up! (West Midlands),"£14,741",21-Apr-21,April,Q1,Midlands,Birmingham,Music,"£15,000 and below"
MUSIC@MALLING,Music@Malling,"£15,000",21-Apr-21,April,Q1,South East,Tonbridge and Malling,Music,"£15,000 and below"
Umbrella Derby and Derbyshire,Raindrops Choir,"£4,890",21-Apr-21,April,Q1,Midlands,Derby,Music,"£15,000 and below"
Howdenshire Music Project 2021,Howdenshire Music Project Concert Series,"£4,065",21-Apr-21,April,Q1,North,East Riding of Yorkshire,Music,"£15,000 and below"
On The Brink Studio,OTB STUDIO OUTDOOR WORKSHOPS,"£14,035",21-Apr-21,April,Q1,North,Stockport,Visual arts,"£15,000 and below"
Katrina Woolley,Performance and Well-Being Festival,"£24,277",21-Apr-21,April,Q1,North,Sheffield,Theatre,"Over £15,000"
BIRMINGHAM & SOLIHULL MENTAL HEALTH FOUNDATION TRUST,BEDLAM 2021,"£71,000",21-Apr-21,April,Q1,Midlands,Birmingham,Combined arts,"Over £15,000"
Uchenna Dance,Digital Development & Deaf & Disability Access,"£31,076",21-Apr-21,April,Q1,London,Lewisham,Dance,"Over £15,000"
Northern Chamber Orchestra,NCO Programme Development 2021-22,"£42,042",21-Apr-21,April,Q1,North,Manchester,Music,"Over £15,000"
New Contemporaries (1988) Ltd,New Contemporaries Digital Fellowships,"£37,600",21-Apr-21,April,Q1,London,Tower Hamlets,Visual arts,"Over £15,000"
Duja Sinada,Sisterhood - Duja's research and development,"£14,990",21-Apr-21,April,Q1,North,Leeds,Dance,"£15,000 and below"
Sophie Bloor,Baby Money,"£9,860",21-Apr-21,April,Q1,Midlands,Erewash,Theatre,"£15,000 and below"
Alleyne Dance,Far From Home R&D & Documentary,"£29,870",21-Apr-21,April,Q1,London,Enfield,Dance,"Over £15,000"
Sebastian Trend,Jane Millican & Seb Trend : Fake Paintings,"£6,499",21-Apr-21,April,Q1,North,Newcastle upon Tyne,Visual arts,"£15,000 and below"
The Football Association,UEFA Women's EURO 2022 Culture Programme,"£14,800",21-Apr-21,April,Q1,London,Brent,Combined arts,"£15,000 and below"
John Hewer,Mother Goose Pantomime R&D,"£11,956",21-Apr-21,April,Q1,Midlands,Lincoln,Theatre,"£15,000 and below"
Marcus Williamson,Refugee Week 2021,"£9,066",21-Apr-21,April,Q1,South East,Wokingham,Music,"£15,000 and below"
Tallulah Lines,RE: Imagine,"£15,000",21-Apr-21,April,Q1,North,Newcastle upon Tyne,Visual arts,"£15,000 and below"
Alexander Whitley Dance Company,New hybrid live/digital work - First creation period,"£14,995",21-Apr-21,April,Q1,South East,Ipswich,Dance,"£15,000 and below"
Sophie Thorpe,Research & Development of Women of the World,"£14,935",21-Apr-21,April,Q1,Midlands,Gedling,Dance,"£15,000 and below"
Makiko Hall,Working with The Island (NPO) to improve mental health and develop creativity of the vulnerable youth in the community through visual arts activities,"£7,350",21-Apr-21,April,Q1,North,York,Visual arts,"£15,000 and below"
ArtsGroupie CIC,The Liver Bird Summer,"£14,718",21-Apr-21,April,Q1,North,Liverpool,Theatre,"£15,000 and below"
Friends of Ingestre Orangery,Pleasure Ground,"£14,995",21-Apr-21,April,Q1,Midlands,Stafford,Visual arts,"£15,000 and below"
andre verissimo,Just An Other Crossing,"£12,155",21-Apr-21,April,Q1,South East,Folkestone and Hythe,Visual arts,"£15,000 and below"
Seke Chimutengwende,New work: Ghosts & Haunted Houses,"£14,975",21-Apr-21,April,Q1,London,Haringey,Dance,"£15,000 and below"
Louis-Jack Horton-Stephens,Visions of the Knight Tondal,"£11,980",21-Apr-21,April,Q1,London,Lambeth,Dance,"£15,000 and below"
Jolie Booth,Further Development for Pilgrimage,"£15,405",21-Apr-21,April,Q1,South East,Brighton and Hove,Combined arts,"£15,000 and below"
Kelly Hoye,Staring at the Walls,"£20,968",21-Apr-21,April,Q1,North,Salford,Theatre,"£15,000 and below"
mark grey,Windrush The Untold Story,"£14,487",21-Apr-21,April,Q1,London,Croydon,Theatre,"£15,000 and below"
Potboiler Theatre,The Secret City (#2),"£14,955",21-Apr-21,April,Q1,Midlands,Stoke-on-Trent,Theatre,"£15,000 and below"
Polestar Studios,Polestar Live Sessions,"£14,551",21-Apr-21,April,Q1,North,Newcastle upon Tyne,Music,"£15,000 and below"
Hannah Thompson,DUST GATHERS,"£14,960",21-Apr-21,April,Q1,North,County Durham,Theatre,"£15,000 and below"
Made By Mortals,R&D Process for Armchair Adventures Live,"£14,990",21-Apr-21,April,Q1,North,Tameside,Theatre,"£15,000 and below"
natalie bellingham,Sitting Down Carefully - Wakefield Festival of the Earth,"£15,000",21-Apr-21,April,Q1,North,Wakefield,Theatre,"£15,000 and below"
Northern Opera Group,Leeds Opera Festival 2021,"£15,000",21-Apr-21,April,Q1,North,Leeds,Music,"£15,000 and below"
Donald Marshall,'Good Clean Fun' R&D,"£14,960",21-Apr-21,April,Q1,North,County Durham,Theatre,"£15,000 and below"
Caldonia Walton,'Weight/Wait' Dance on Screen,"£14,995",21-Apr-21,April,Q1,Midlands,Shropshire,Dance,"£15,000 and below"
Justin Sicile,Pear Person Tackles Loneliness,"£15,000",21-Apr-21,April,Q1,London,Waltham Forest,Music,"£15,000 and below"
Clare McNulty,R&D Script/Music Score with Community Engagement,"£17,400",21-Apr-21,April,Q1,North,Manchester,Theatre,"£15,000 and below"
Krishna Menon,Motherhood/Digital Reach R&D,"£14,999",21-Apr-21,April,Q1,London,Southwark,Theatre,"£15,000 and below"
Roxanne Carney,Paid Fantasist Phase 2: final R&D + digital adaptation,"£14,920",21-Apr-21,April,Q1,South East,Braintree,Literature,"£15,000 and below"
Other Lives Productions,THE CATCH 2,"£13,766",21-Apr-21,April,Q1,North,East Riding of Yorkshire,Theatre,"£15,000 and below"
MAKEAMPLIFY LTD,Otahi Phase 1 creation,"£16,800",21-Apr-21,April,Q1,South East,Worthing,Combined arts,"£15,000 and below"
Nick Kennedy,Proving Ground,"£14,900",21-Apr-21,April,Q1,North,Newcastle upon Tyne,Visual arts,"£15,000 and below"
Paul O'Neill,Recording and development,"£11,072",21-Apr-21,April,Q1,Midlands,"Herefordshire, County of",Music,"£15,000 and below"
Rashmi Becker,Conversations with Carers,"£14,950",21-Apr-21,April,Q1,London,Westminster,Dance,"£15,000 and below"
Chelmsford Cultural Development Trust,Emerge,"£14,975",21-Apr-21,April,Q1,South East,Chelmsford,Combined arts,"£15,000 and below"
Bertz Associates LTD,Tower of Dreams,"£14,920",21-Apr-21,April,Q1,Midlands,Birmingham,Combined arts,"£15,000 and below"
Icarus Theatre Collective,Creative Captioning Innovation/Research & Development,"£17,657",21-Apr-21,April,Q1,London,Southwark,Theatre,"£15,000 and below"
Adam Summerhayes,"Ironstone Tales - poetry, music, storytelling","£14,730",21-Apr-21,April,Q1,Midlands,Derbyshire Dales,Combined arts,"£15,000 and below"
Entrust Care Partnership C.I.C,‘A Family Affair’ Accessible Art,"£13,310",21-Apr-21,April,Q1,Midlands,Stratford-on-Avon,Combined arts,"£15,000 and below"
Jenine McGaughran,"Erbe, Wyre Forest Creative Community Consultation","£14,998",21-Apr-21,April,Q1,Midlands,Sandwell,Combined arts,"£15,000 and below"
Natalie Shiner,The Last Freedom,"£7,999",21-Apr-21,April,Q1,London,Lambeth,Not discipline specific,"£15,000 and below"
David Sear,'I Always Thought My Thoughts Were Me' Album Recording,"£3,500",21-Apr-21,April,Q1,Midlands,Birmingham,Music,"£15,000 and below"
Joseph Winer,The Happy Prince R&D and Sharings,"£15,000",21-Apr-21,April,Q1,South East,Hertsmere,Theatre,"£15,000 and below"
Sherry Stevenson,Mental Health Awareness Week,"£8,395",21-Apr-21,April,Q1,South East,Reading,Literature,"£15,000 and below"
Neelum Aftab,Cultural focused Women Art Workshops,"£8,450",21-Apr-21,April,Q1,Midlands,Nottingham,Visual arts,"£15,000 and below"
Hannah Buckley,Hannah Buckley and Hollie Miller R&D for new duet with public facing reading group & dance workshop series,"£15,000",21-Apr-21,April,Q1,North,Leeds,Dance,"£15,000 and below"
Jake Evans,Queer New World,"£12,716",21-Apr-21,April,Q1,North,Leeds,Dance,"£15,000 and below"
Sophie Lavin,No Surrender,"£15,000",21-Apr-21,April,Q1,North,Cheshire East,Literature,"£15,000 and below"
Katie O'Brien,Catch 22 Years Development and Previews 2021,"£14,999",22-Apr-21,April,Q1,London,Haringey,Theatre,"£15,000 and below"
Buckinghamshire Culture,"Postcards from Buckinghamshire: sharing, connecting and weaving stories of Bucks","£15,000",22-Apr-21,April,Q1,South East,Buckinghamshire,Literature,"£15,000 and below"
Lucy Enskat,Sideshows for Sustainability,"£15,000",22-Apr-21,April,Q1,South East,South Norfolk,Theatre,"£15,000 and below"
Daisy Jordan,The Lace-makers R&D,"£11,512",22-Apr-21,April,Q1,South East,Brighton and Hove,Theatre,"£15,000 and below"
Joseph Williams,Climate Art: A Vanished Sea,"£5,500",22-Apr-21,April,Q1,South East,Rother,Visual arts,"£15,000 and below"
Jennifer Tam,Cosmic Garden,"£14,794",22-Apr-21,April,Q1,London,Hackney,Visual arts,"£15,000 and below"
Ellie Keel,Reasons You Should(n't) Love Me,"£15,000",22-Apr-21,April,Q1,London,Waltham Forest,Theatre,"£15,000 and below"
Priority 1-54,Same as it never was,"£13,900",22-Apr-21,April,Q1,South East,Brighton and Hove,Visual arts,"£15,000 and below"
MÓTUS,The Universe and Me,"£14,900",22-Apr-21,April,Q1,South East,Milton Keynes,Dance,"£15,000 and below"
FOUR collective,WOODS,"£14,250",22-Apr-21,April,Q1,London,Waltham Forest,Combined arts,"£15,000 and below"
Noga Ritter,Afro Hebrew Soul,"£16,480",22-Apr-21,April,Q1,London,Waltham Forest,Music,"£15,000 and below"
Azekel Adesuyi,ANALYSE LOVE,"£15,000",22-Apr-21,April,Q1,London,Barking and Dagenham,Music,"£15,000 and below"
Imogen Welch,The Southend Rubbish Project,"£10,503",22-Apr-21,April,Q1,South East,Dacorum,Visual arts,"£15,000 and below"
Young Women's music Project,Resilience Project,"£14,455",22-Apr-21,April,Q1,South East,Oxford,Music,"£15,000 and below"
Rob Parton,Plugged - 2021/2022 events and activities,"£13,600",22-Apr-21,April,Q1,London,Waltham Forest,Music,"£15,000 and below"
Steven Webb,Discovering Othello,"£15,000",22-Apr-21,April,Q1,London,Havering,Theatre,"£15,000 and below"
Littleborough Arts Festival,Littleborough by the Sea,"£14,993",22-Apr-21,April,Q1,North,Rochdale,Combined arts,"£15,000 and below"
Menagerie,Hotbed Re-Heated,"£15,000",22-Apr-21,April,Q1,South East,Cambridge,Theatre,"£15,000 and below"
Patricia Cumper,The Amplify Project Stage One,"£58,203",22-Apr-21,April,Q1,South East,North Hertfordshire,Literature,"Over £15,000"
Geoffa Fells,Express Yourself Sensory Opera,"£6,875",22-Apr-21,April,Q1,South East,Reigate and Banstead,Music,"£15,000 and below"
